Test:     0_baseline
Defenses: none
Target:   victim1

Host          Failed    Accepted
──────────────────────────
victim1       54        11      
victim2       47        11      
victim3       30        2       
victim4       77        2       
victim5       183       2       
honeypot      4         2       

Found: 8  Compromised: 8  Networks: 3

  ✓ 172.21.0.20      compromised   admin:admin           via direct
  ✓ 172.21.0.21      compromised   admin:admin           via direct
  ✓ 10.20.0.20       compromised   labuser:password123   via 172.21.0.21
  ✓ 10.20.0.11       compromised   labuser:deepnet123    via 172.21.0.21
  ✓ 10.20.0.10       compromised   labuser:deepnet123    via 172.21.0.21
  ✓ 10.10.0.10       compromised   root:rootpass         via 172.21.0.20
  ✓ 10.10.0.20       compromised   root:toor             via 172.21.0.20
  ✓ 10.10.0.50       compromised   root:rootpass         via 172.21.0.20

  ⚠ PIVOT_DETECTED: lateral movement through 172.21.0.20
  ⚠ PIVOT_DETECTED: lateral movement through 172.21.0.21
