Test:     1_fail2ban
Defenses: fail2ban
Target:   victim1

Host          Failed    Accepted
──────────────────────────
victim1       66        11      
victim2       47        11      
victim3       104       2       
victim4       179       2       
victim5       104       2       
honeypot      0         2       

Found: 8  Compromised: 8  Networks: 3

  ✓ 172.21.0.20      compromised   deploy:deploy123      via direct
  ✓ 172.21.0.21      compromised   admin:admin           via direct
  ✓ 10.10.0.10       compromised   labuser:internal123   via 172.21.0.20
  ✓ 10.10.0.50       compromised   labuser:internal123   via 172.21.0.20
  ✓ 10.10.0.20       compromised   admin:admin           via 172.21.0.20
  ✓ 10.20.0.10       compromised   root:rootdeep         via 172.21.0.21
  ✓ 10.20.0.11       compromised   labuser:deepnet123    via 172.21.0.21
  ✓ 10.20.0.20       compromised   deploy:deploy123      via 172.21.0.21

  ⚠ PIVOT_DETECTED: lateral movement through 172.21.0.20
  ⚠ PIVOT_DETECTED: lateral movement through 172.21.0.21
